2000-10-29 05:10:00.8900000,1
2000-10-29 01:10:34.3160000,1
2000-10-29 01:10:23.6480000,1
2000-10-29 01:10:30.4000000,1
2000-10-29 01:10:23.0750000,1
2000-10-29 01:10:09.7720000,1
2000-10-29 01:10:31.8580000,1
2000-10-29 01:10:15.3910000,1
2000-10-29 01:10:36.2660000,2
2000-10-29 01:10:33.9130000,2
2000-10-29 01:10:33.9990000,3
2000-10-29 00:51:16.7760000,3
2000-10-29 01:10:08.4920000,3
2000-10-29 01:10:30.6390000,3
2000-10-29 01:10:32.1450000,3
2000-10-29 01:10:22.9240000,3
2000-10-29 01:10:08.5770000,3
2000-10-29 01:10:10.5630000,3
2000-10-29 01:10:30.4170000,3
2000-10-29 05:10:06.2290000,3
2000-10-29 01:10:29.2750000,3
2000-10-29 01:10:11.7820000,3
2000-10-29 01:10:34.5380000,3
2000-10-29 01:10:11.0580000,3
2000-10-29 01:10:30.6220000,3
2000-10-29 00:51:15.8160000,4
2000-10-29 01:10:36.0680000,4
2000-10-29 01:10:31.7420000,4
2000-10-29 01:10:35.8490000,4
2000-10-29 01:10:34.7050000,4
2000-10-29 01:10:21.6750000,5
2000-10-29 01:10:26.6180000,5
2000-10-29 01:10:30.5610000,5
2000-10-29 01:10:32.1140000,6
2000-10-29 01:10:27.6150000,6
2000-10-29 00:51:28.7480000,6
2000-10-29 01:10:27.4620000,6
2000-10-29 01:10:30.6150000,6
2000-10-29 01:10:33.5620000,6
2000-10-29 00:51:16.0420000,6
2000-10-29 01:10:35.9620000,6
2000-10-29 01:10:34.3540000,7
2000-10-29 01:10:31.8410000,7
2000-10-29 01:10:32.2820000,7
2000-10-29 01:10:24.0100000,8
2000-10-29 01:10:31.7590000,8
2000-10-29 01:10:26.7930000,8
2000-10-29 01:10:26.5020000,8
2000-10-29 01:10:33.5310000,9
2000-10-29 01:10:34.3230000,9
2000-10-29 00:51:17.3530000,9
2000-10-29 01:10:33.5860000,9
2000-10-29 01:10:31.7350000,10
2000-10-29 01:10:00.1750000,10
2000-10-29 01:10:21.6440000,11
2000-10-29 01:10:23.9760000,11
2000-10-29 01:10:00.3350000,11
2000-10-29 01:10:34.5690000,12
2000-10-29 01:10:15.3840000,14
2000-10-29 01:10:32.4800000,14
2000-10-29 01:10:08.4850000,16
2000-10-29 01:10:33.2410000,16
2000-10-29 01:10:12.8710000,16
2000-10-29 01:10:29.2990000,16
2000-10-29 01:10:08.6760000,18
2000-10-29 05:10:09.2200000,18
2000-10-29 01:10:07.4950000,18
2000-10-29 01:10:33.9680000,21
2000-10-29 01:10:31.5990000,22
2000-10-29 01:10:08.1330000,23
2000-10-29 01:10:36.2420000,24
2000-10-29 01:10:35.4810000,24
2000-10-29 01:10:30.6080000,25
2000-10-29 01:10:28.4070000,25
2000-10-29 01:10:36.6860000,25
2000-10-29 01:10:18.1320000,26
2000-10-29 01:10:00.6320000,28
2000-10-29 01:10:33.0810000,28
2000-10-29 01:10:11.6690000,29
2000-10-29 01:10:32.5890000,31
2000-10-29 01:10:34.2620000,31
2000-10-29 01:10:33.1730000,31
2000-10-29 00:51:16.8060000,32
2000-10-29 01:10:32.1760000,33
2000-10-29 01:10:08.5150000,33
2000-10-29 01:10:32.6400000,33
2000-10-29 01:10:00.8610000,37
2000-10-29 01:10:07.4710000,37
2000-10-29 01:10:32.6260000,41
2000-10-29 01:10:32.6330000,43
2000-10-29 00:51:15.9770000,45
2000-10-29 01:10:31.2160000,46
2000-10-29 01:10:34.2170000,48
2000-10-29 01:10:12.4820000,49
2000-10-29 01:10:33.9820000,50
2000-10-29 00:51:15.6250000,51
2000-10-29 01:10:30.0420000,52
2000-10-29 01:10:33.9750000,58
2000-10-29 01:10:33.2340000,60
2000-10-29 01:10:34.2000000,60
2000-10-29 05:10:10.7900000,61
2000-10-29 01:10:35.7640000,66
2000-10-29 00:51:18.5720000,67
2000-10-29 01:10:30.1580000,71
2000-10-29 01:10:32.6190000,71
2000-10-29 01:10:35.7880000,74
2000-10-29 01:10:29.1760000,74
2000-10-29 01:10:35.5110000,76
2000-10-29 01:10:32.7870000,79
2000-10-29 01:10:21.6990000,80
2000-10-29 01:10:35.7710000,80
2000-10-29 01:10:30.1030000,83
2000-10-29 01:10:07.4640000,86
2000-10-29 00:51:16.9050000,89
2000-10-29 01:10:32.2200000,91
2000-10-29 01:10:33.9370000,92
2000-10-29 01:10:16.9090000,95
2000-10-29 00:51:15.7480000,97
2000-10-29 01:10:06.9550000,98
2000-10-29 00:51:16.6390000,100
2000-10-29 01:10:32.3500000,101
2000-10-29 01:10:07.9690000,102
2000-10-29 01:10:01.5610000,106
2000-10-29 01:10:31.9950000,109
2000-10-29 01:10:01.6910000,115
2000-10-29 00:51:15.1680000,120
2000-10-29 01:10:22.8490000,121
2000-10-29 01:10:32.2060000,125
2000-10-29 01:10:29.3050000,129
2000-10-29 01:10:29.6880000,137
2000-10-29 01:10:35.7400000,137
2000-10-29 01:10:30.9050000,140
2000-10-29 01:10:18.0950000,142
2000-10-29 01:10:00.5710000,145
2000-10-29 01:10:01.8130000,150
2000-10-29 01:10:32.7320000,161
2000-10-29 01:10:02.4140000,161
2000-10-29 00:51:15.1990000,165
2000-10-29 00:51:15.8540000,171
2000-10-29 01:10:30.9120000,172
2000-10-29 01:10:22.0300000,176
2000-10-29 01:10:10.8910000,179
2000-10-29 01:10:34.2240000,188
2000-10-29 01:10:32.3670000,190
2000-10-29 01:10:11.5460000,190
2000-10-29 01:10:30.9290000,191
2000-10-29 01:10:31.5820000,198
2000-10-29 01:10:32.2130000,203
2000-10-29 01:10:33.9060000,209
2000-10-29 01:10:09.4440000,213
2000-10-29 01:10:34.4390000,230
2000-10-29 01:10:33.9200000,230
2000-10-29 00:51:19.1040000,244
2000-10-29 01:10:31.9260000,248
2000-10-29 01:10:34.2310000,250
2000-10-29 00:51:17.0560000,251
2000-10-29 01:10:09.2770000,255
2000-10-29 01:10:32.2440000,261
2000-10-29 00:51:19.9680000,262
2000-10-29 01:10:32.3430000,263
2000-10-29 01:10:07.0440000,270
2000-10-29 01:10:27.4790000,271
2000-10-29 01:10:30.1340000,283
2000-10-29 05:10:00.9440000,289
2000-10-29 00:51:15.8610000,291
2000-10-29 01:10:30.1410000,294
2000-10-29 01:10:35.0780000,298
2000-10-29 01:10:33.9440000,299
2000-10-29 01:10:06.9480000,304
2000-10-29 01:10:32.2370000,305
2000-10-29 00:51:15.8850000,321
2000-10-29 00:51:15.2500000,326
2000-10-29 01:10:34.0260000,351
2000-10-29 00:51:16.2190000,363
2000-10-29 01:10:32.8480000,376
2000-10-29 05:10:09.3360000,386
2000-10-29 01:10:34.3300000,388
2000-10-29 01:10:32.2510000,392
2000-10-29 01:10:30.1100000,393
2000-10-29 00:51:22.6540000,395
2000-10-29 01:10:30.0590000,406
2000-10-29 01:10:30.0970000,414
2000-10-29 00:51:15.9460000,430
2000-10-29 00:51:23.8800000,440
2000-10-29 01:10:09.2460000,447
2000-10-29 01:10:32.0220000,457
2000-10-29 00:51:19.0980000,457
2000-10-29 01:10:06.6890000,466
