1-3,Employee,69,68.1
1-3,House wife,2,50
1-3,Self Employed,34,73.5
1-3,Student,132,86.4
4-5,Employee,38,60.5
4-5,House wife,5,100
4-5,Self Employed,8,50
4-5,Student,65,93.8
6,Employee,9,55.6
6,House wife,2,50
6,Self Employed,11,45.5
6,Student,6,100
