2020,7,122761.26427077
2020,8,133932.031399082
2020,9,106561.181771103
2020,10,122721.646626709
2020,11,84608.6884115662
2020,12,99426.0630982086
2021,1,135749.834325097
2021,2,178876.165571399
2021,3,92141.1028064256
2021,4,74642.2611233001
2021,5,68128.0842187771
2021,6,66899.0173630349
2021,7,83150.4713800488
2021,8,108710.739435757
2021,9,91379.1523825262
2021,10,85014.5186417178
2021,11,57732.2449499919
2021,12,58745.9588823684
2022,1,114691.005615498
2022,2,80506.5834030081
2022,3,75998.9732789306
2022,4,66182.7648707395
2022,5,55444.3894061596
2022,6,52962.3412919582
2022,7,91684.5528976548
2022,8,119061.806098338
2022,9,112236.55485308
2022,10,119539.106237452
2022,11,73308.5451478411
2022,12,75732.5796644763
2023,1,156791.958431963
2023,2,91982.2841362157
2023,3,91790.4645186931
2023,4,74825.267012004
2023,5,78000.317287558
2023,6,70103.4178197067
